A1;;GND-2;;GND
A2;;GND-1;;GND
A3;;MGTHRXN3_228;;GTP0RX_N
A4;;MGTHRXP3_228;;GTP0RX_P
A5;;GND-3;;GND
A6;;GND-4;;GND
A7;;GND-5;;GND
A8;;IO_T0U_N12_VRP_66;;VRP_68
A9;;IO_L2N_T0L_N3_66;;RTM_FPGA_GTP_Tx0_N
A10;;IO_L4N_T0U_N7_DBC_AD7N_66;;FPGA_DAC_SYSREF_N
A11;;GND-6;;GND
A12;;IO_L23N_T3U_N9_66;;RTM_FPGA_LVDS1_N
A13;;IO_L23P_T3U_N8_66;;RTM_FPGA_LVDS1_P
A14;;IO_L1N_T0L_N1_DBC_68;;$7N8953
A15;;IO_L3N_T0L_N5_AD15N_68;;$7N8950
A16;;VCCO_68-6;;P1V5
A17;;IO_T0U_N12_VRP_68;;VRP_66
A18;;IO_L2N_T0L_N3_68;;$7N8948
A19;;IO_L2P_T0L_N2_68;;$7N8949
A20;;IO_L17N_T2U_N9_AD10N_67;;DDR3_32_DQ23
A21;;GND-7;;GND
A22;;IO_T2U_N12_67;;$7N8978
A23;;IO_T1U_N12_67;;$7N8974
A24;;IO_L10N_T1U_N7_QBC_AD4N_67;;DDR3_32_DQS1_N
A25;;IO_L8N_T1L_N3_AD5N_67;;DDR3_32_DQ13
A26;;VCCO_67-2;;P1V5
A27;;IO_L6P_T0U_N10_AD6P_67;;DDR3_32_DQ2
A28;;IO_L6N_T0U_N11_AD6N_67;;DDR3_32_DQ6
A29;;IO_L4N_T0U_N7_DBC_AD7N_67;;DDR3_32_DQS0_N
A30;;GND-8;;GND
A31;;GND-9;;GND
A32;;GND-10;;GND
A33;;NC-12;;$12N4311
A34;;NC-11;;$12N4310
AA1;;GND-45;;GND
AA2;;GND-46;;GND
AA3;;MGTHTXN0_226;;GTP11TXC_N
AA4;;MGTHTXP0_226;;GTP11TXC_P
AA5;;GND-47;;GND
AA6;;MGTVCCAUX_R-1;;MGTVCCAUX
